"Date","Open","High","Low","Close","Volume"
"05/2025","97.015","99.74","91.89","96.34","320,434,730"
"04/2025","87.535","97.78","79.81","97.25","509,882,910"
"03/2025","97.98","99.49","83.87","87.79","529,836,960"
"02/2025","96.77","105.3","92.12","98.61","393,516,410"
"01/2025","89.98","99","89.52","98.16","301,854,300"
"12/2024","92.82","96.18","88.91","90.35","382,131,853"
"11/2024","82.53","92.64","81.54","92.5","340,426,760"
"10/2024","80.68","83.34","78.98","81.95","274,959,627"
"09/2024","77.33","81.6","76.3","80.75","358,172,300"
"08/2024","68.91","77.475","66.67","77.23","395,298,179"
"07/2024","67.89","71.33","67.25","68.64","288,076,739"
"06/2024","65.51","69.04","65.1603","67.71","288,554,540"
"05/2024","59.31","65.9","58.58","65.76","401,576,470"
"04/2024","60.31","60.89","58.555","59.35","304,736,075"
"03/2024","58.8","61.655","58.2","60.17","339,293,630"
"02/2024","55.2333","60.45","55.06","58.61","523,249,462"
"01/2024","52.4167","55.9333","51.8667","55.0833","385,322,243"
"12/2023","51.7933","52.7767","49.8467","52.55","543,923,400"
"11/2023","54.7367","56.6467","51.3767","51.8967","536,587,267"
"10/2023","53.1633","54.7767","50.55","54.47","344,007,465"
"09/2023","54.29","55.2833","53.0617","53.31","331,242,825"
"08/2023","53.3167","54.33","51.6733","54.2033","391,684,455"
"07/2023","52.27","53.6467","51.15","53.2867","272,194,778"
"06/2023","48.7367","52.7433","48.6467","52.3933","390,352,740"
"05/2023","50.3467","51.45","48.3367","48.9567","406,483,924"
"04/2023","49.2433","51.25","49.0067","50.3233","301,896,974"
"03/2023","47.02","49.48","45.3633","49.15","524,659,390"
"02/2023","47.8867","49.4467","46.23","47.3767","368,558,578"
"01/2023","47.5167","53.2933","46.0567","47.9567","324,055,312"
"12/2022","50.6833","51.2033","46.9367","47.2633","382,135,097"
"11/2022","47.6567","51.5467","46.09","50.8067","455,001,379"
"10/2022","43.4133","47.69","42.69","47.4433","350,695,140"
"09/2022","44.18","46.083","42.7567","43.2333","416,339,233"
"08/2022","43.6867","47.5733","41.7067","44.1833","623,689,436"
"07/2022","40.6467","44.4633","40.02","44.0167","472,939,423"
"06/2022","42.8333","42.9733","39.301","40.5267","512,789,824"
